Symbol,Description
A,"Agilent Technologies, Inc. provides application focused solutions to the life sciences, diagnostics, and applied chemical markets worldwide. The Life Sciences and Applied Markets segment offers liquid and gas chromatography systems and components; liquid and gas chromatography mass spectrometry systems; inductively coupled plasma mass and optical emission spectrometry instruments; atomic absorption instruments; microwave plasma-atomic emission spectrometry instruments; raman spectroscopy; cell analysis plate based assays; flow cytometer; real-time cell analyzer; cell imaging systems; microplate readers; laboratory software, information management, and analytics; laboratory automation and robotic systems; dissolution testing; vacuum pumps; and measurement technologies. The Diagnostics and Genomics segment provides arrays for DNA mutation detection, genotyping, gene copy number determination, identification of gene rearrangements, DNA methylation profiling, and gene expression profiling, as well as sequencing target enrichment, genetic data management, and interpretation support software; and equipment to produce synthesized oligonucleotide. It also offers immunohistochemistry, in situ hybridization, and hematoxylin and eosin staining and special staining; instruments, consumables, and software for quality control analysis of nucleic acid samples; and reagents for use in turbidimetry and flow cytometry, as well as develops pharmacodiagnostics. The Agilent CrossLab segment provides GC and LC columns, sample preparation products, custom chemistries, and laboratory instrument supplies; and startup, operational, training, compliance support, software as a service, asset management, and consultation services. The company markets its products through direct sales, distributors, resellers, manufacturer's representatives, and electronic commerce. It has collaboration agreement with SGS AXYS. The company was incorporated in 1999 and is headquartered in Santa Clara, California."
AAIC,"Arlington Asset Investment Corp. (NYSE: AI) is a principal investment firm that currently invests primarily in mortgage-related and other assets.  The Company is headquartered in the Washington, D.C. metropolitan area.  For more information, please visit www.arlingtonasset.com."
AAL,"American Airlines Group Inc., through its subsidiaries, operates as a network air carrier. The company provides scheduled air transportation services for passengers and cargo through its hubs in Charlotte, Chicago, Dallas/Fort Worth, Los Angeles, Miami, New York, Philadelphia, Phoenix, and Washington, D.C., as well as through partner gateways in London, Madrid, Seattle/Tacoma, Sydney, and Tokyo. As of December 31, 2020, it operated a mainline fleet of 855 aircraft. The company was formerly known as AMR Corporation and changed its name to American Airlines Group Inc. in December 2013. American Airlines Group Inc. was founded in 1930 and is headquartered in Fort Worth, Texas."
AAMC,"Altisource Asset Management Corporation, an asset management company, provides portfolio management and corporate governance services to institutional investors in the United States. The company offers its services under an asset management agreement to Altisource Residential Corporation, which acquires and manages single-family rental properties for working class families. It also provides management services to NewSource Reinsurance Company Ltd. The company was founded in 2012 and is headquartered in Christiansted, Virgin Islands."
AAME,"Atlantic American Corporation, through its subsidiaries, provides life and health, and property and casualty insurance products in the United States. It operates through American Southern and Bankers Fidelity segments. The company offers property and casualty insurance products, including business automobile insurance coverage for state governments, local municipalities, and other motor pools and fleets; and inland marine and general liability insurance products. It also provides surety bond coverage for subdivision construction, as well as performance and payment bonds. In addition, it provides term, individual and group whole life insurance, as well as medicare supplement and other accident and health insurance products. The company markets its products through independent agents and brokers. Atlantic American Corporation was founded in 1937 and is headquartered in Atlanta, Georgia."
AAN,"The Aarons Company Inc. provides lease-to-own and purchase solutions. The company engages in direct-to-consumer sales and lease ownership of furniture, home appliances, electronics, and accessories through its approximately 1,300 Company-operated and franchised stores in the United States and Canada, as well as its e-commerce platform. It also manufactures and supplies bedding and upholstered furniture. As of December 31, 2020, the company had 1,092 Company-operated stores and 248 independently-owned franchised stores. The company was formerly known as Aaron's SpinCo, Inc. The Aarons Company Inc. was founded in 1955 and is headquartered in Atlanta, Georgia."
AAOI,"Applied Optoelectronics, Inc. designs, manufactures, and sells various fiber-optic networking products worldwide. It offers optical modules, lasers, subassemblies, transmitters and transceivers, and turn-key equipment, as well as headend, node, and distribution equipment. The company sells its products to internet data center operators, cable television and telecom equipment manufacturers, and internet service providers through its direct and indirect sales channels. Applied Optoelectronics, Inc. was incorporated in 1997 and is headquartered in Sugar Land, Texas."
AAON,"AAON, Inc., together with its subsidiaries, engages in engineering, manufacturing, marketing, and selling air conditioning and heating equipment in the United States and Canada. It offers rooftop units, chillers, packaged outdoor mechanical rooms, air handling units, makeup air units, energy recovery units, condensing units, geothermal/water-source heat pumps, self-contained units, coils, and controls. The company markets and sells its products to retail, manufacturing, educational, lodging, supermarket, medical, and other commercial industries. It sells its products through a network of manufacturers' representatives and internal sales force. The company was incorporated in 1987 and is based in Tulsa, Oklahoma."
AAP,"Advance Auto Parts, Inc. provides automotive replacement parts, accessories, batteries, and maintenance items for domestic and imported cars, vans, sport utility vehicles, and light and heavy duty trucks. The company offers battery accessories; belts and hoses; brakes and brake pads; chassis and climate control parts; clutches and drive shafts; engines and engine parts; exhaust systems and parts; hub assemblies; ignition components and wires; radiators and cooling parts; starters and alternators; and steering and alignment parts. It also offers air conditioning chemicals and accessories; air fresheners; antifreeze and washer fluids; electrical wires and fuses; electronics; floor mats, seat covers, and interior accessories; hand and specialty tools; lighting products; performance parts; sealants, adhesives and compounds; tire repair accessories; vent shades, mirrors and exterior accessories; washes, waxes and cleaning supplies; and wiper blades. In addition, the company offers air filters; fuel and oil additives; fuel filters; grease and lubricants; motor oils; oil filters, part cleaners and treatments; and transmission fluids for engine maintenance. Further, it offers battery and wiper installation; engine light scanning and checking; electrical system testing; video clinic; oil and battery recycling; and loaner tool program services. Additionally, the company sells its products through its Website. It serves professional installers and do-it-yourself customers. The company operates stores under the Advance Auto Parts, Autopart International, and Carquest brands, as well as branches under the Worldpac name. As of January 2, 2021, it operated 4,806 stores and 170 branches in the United States, Puerto Rico, the U.S. Virgin Islands, and Canada; and served 1,277 independently owned Carquest branded stores in Mexico, Grand Cayman, the Bahamas, Turks and Caicos, and the British Virgin Islands. The company was founded in 1929 and is based in Raleigh, North Carolina."
AAPL,"Apple Inc. designs, manufactures, and markets smartphones, personal computers, tablets, wearables, and accessories worldwide. It also sells various related services. The company offers iPhone, a line of smartphones; Mac, a line of personal computers; iPad, a line of multi-purpose tablets; and wearables, home, and accessories comprising AirPods, Apple TV, Apple Watch, Beats products, HomePod, iPod touch, and other Apple-branded and third-party accessories. It also provides AppleCare support services; cloud services store services; and operates various platforms, including the App Store, that allow customers to discover and download applications and digital content, such as books, music, video, games, and podcasts. In addition, the company offers various services, such as Apple Arcade, a game subscription service; Apple Music, which offers users a curated listening experience with on-demand radio stations; Apple News+, a subscription news and magazine service; Apple TV+, which offers exclusive original content; Apple Card, a co-branded credit card; and Apple Pay, a cashless payment service, as well as licenses its intellectual property. The company serves consumers, and small and mid-sized businesses; and the education, enterprise, and government markets. It sells and delivers third-party applications for its products through the App Store. The company also sells its products through its retail and online stores, and direct sales force; and third-party cellular network carriers, wholesalers, retailers, and resellers. Apple Inc. was founded in 1977 and is headquartered in Cupertino, California."
AAT,"American Assets Trust, Inc. is a full service, vertically integrated and self-administered real estate investment trust, or REIT, headquartered in San Diego, California. The company has over 50 years of experience in acquiring, improving, developing and managing premier office, retail, and residential properties throughout the United States in some of the nation's most dynamic, high-barrier-to-entry markets primarily in Southern California, Northern California, Oregon, Washington, Texas and Hawaii. The company's office portfolio comprises approximately 3.4 million rentable square feet, and its retail portfolio comprises approximately 3.1 million square feet. In addition, the company owns one mixed-use property (including approximately 97,000 rentable square feet of retail space and a 369-room all-suite hotel) and 2,112 multifamily units. In 2011, the company was formed to succeed to the real estate business of American Assets, Inc., a privately held corporation founded in 1967 and, as such, has significant experience, long-standing relationships and extensive knowledge of its core markets, submarkets and asset classes."
AAWW,"Atlas Air Worldwide Holdings, Inc., through its subsidiaries, provides outsourced aircraft and aviation operating services. It operates through three segments: ACMI, Charter, and Dry Leasing. The company offers outsourced cargo and passenger aircraft operating solutions, including contractual service arrangements, such as the provision of aircraft; and value-added services, including crew, maintenance, and insurance to aircraft and other customers. It also provides cargo and passenger aircraft charter services to the U.S. Military Air Mobility Command, charter brokers, freight forwarders, direct shippers, airlines, sports teams and fans, and private charter customers; and cargo and passenger aircraft and engines dry leasing services. In addition, the company offers administrative and management support services, and flight simulator training services. It also serves express delivery providers, e-commerce retailers, and airlines. The company has operations in Africa, Asia, Australia, Europe, the Middle East, North America, and South America. Atlas Air Worldwide Holdings, Inc. was founded in 1992 and is headquartered in Purchase, New York."
AB,"AllianceBernstein Holding L.P. is publicly owned investment manager. The firm also provides research services to its clients. It provides its services to investment companies, pension and profit sharing plans, banks and thrift institutions, trusts, estates, government agencies, charitable organizations, individuals, corporations, and other business entities. The firm invests in public equity, fixed income, and alternative investment markets across the globe. It employs long/short strategy to make its investments. The firm conducts in-house research to make its investments. AllianceBernstein Holding L.P. was founded in 1987 and is based in New York, New York."
