Symbol,market_cap,pe_ratio,peg_ratio,eps_ratio,pb_ratio,ps_ratio,curr_ratio,ebit_ratio,roe_ratio
A,42521499119.00,55.29072,2.74,2.597,9.113354,7.911679,,,
AAIC,140286148.00,,-1.49,,,-2.4912963,,,
AAL,15296987484.00,,0.06,-14.725,,1.1412917,,,
AAMC,38918061.00,0.7816601,,24.384,,,,,
AAME,85542127.00,7.616487,,0.558,0.5983387,0.44415402,,,
AAN,1334901923.00,13.148551,-0.76,2.76,1.6770647,0.7312942,,,
AAOI,233431545.00,,-1.05,-2.673,0.79334956,0.9991416,,,
AAON,3384690030.00,42.167786,4.6,1.49,9.352487,6.3997707,,,
AAP,12893420556.00,27.579832,1.46,7.14,3.6413395,1.2715998,,,
AAPL,2204096034200.00,29.253765,1.45,4.449,31.391703,6.6744037,,,
AAT,2332416071.00,136.121,30.55,0.281,1.8392961,7.0163054,,,
AAWW,2145782046.00,5.294815,0.49,13.5,0.8697346,0.6457009,,,
AB,4643635922.00,14.79765,0.83,3.064,2.8032646,13.91649,,,
ABBV,201349346304.00,39.66014,1.97,2.913,15.595303,4.061974,,,
ABC,24350018176.00,,1.08,-15.76,,0.12454142,,,
ABCB,3874278029.00,10.505395,1.27,5.283,1.3978441,3.552681,,,
ABEO,171297997.00,,,-0.909,1.6213683,17.13373,,,
ABG,3476820433.00,10.234178,0.66,16.953,3.3620772,0.43477964,,,
ABGI,192358873.00,,,,,,,,
ABIO,54470341.00,,,-2.067,0.7614942,,,,
ABM,3256533844.00,67.073166,0.99,0.697,1.9985465,0.53458154,,,
ABMD,13308864550.00,61.39676,4.43,4.94,10.326512,16.200953,,,
ABNB,86388396164.00,,-0.87,,,27.379284,,,
ABR,2588719351.00,7.472617,1.14,2.465,1.7114189,4.3401246,,,
ABT,193762237139.00,34.64118,2.19,3.191,5.852083,5.260316,,,
ABTX,838402443.00,14.191027,,2.942,1.107956,4.1407385,,,
AC,856305652.00,7.894737,,4.959,0.9497126,47.205776,,,
ACAD,4185478211.00,,-0.69,-1.641,7.133021,9.053393,,,
ACCD,3081388998.00,,-1.87,,,17.836327,,,
ACER,43789347.00,,,-1.603,4.264099,11.095584,,,
ACEV,292100000.00,,,,,,,,
ACHC,5938035188.00,,2,-7.911,2.451832,2.6729226,,,
ACHV,81081635.00,,,-5.022,1.623058,,,,
ACI,9778135808.00,,-0.79,,,0.1310034,,,
ACIC,635000000.00,,,,,,,,
ACM,9435024210.00,,1.11,-0.487,3.2865462,0.693913,,,
ACMR,1536470584.00,88.91407,2.89,1.059,12.068701,10.155337,,,
ACOR,42384044.00,,-0.03,-14.959,0.18869658,0.2974129,,,
ACP,198255745.00,,,-0.235,1.0812143,9.331047,,,
ACR,166230604.00,,10.67,,,4.3490286,,,
ACRE,680418833.00,10.4086685,-5.59,1.615,1.1793181,7.4577284,,,
ACRS,925687162.00,,-0.25,-1.435,8.525046,139.77437,,,
