Symbol,Date,ESG Score,Environment,Emissions,Resource Use,Innovation,Social,Human Rights,Product Responsibility,Workforce,Community,Governance,Management,Shareholders,CSR Strategy
A,2021-06-19,89,79,98,93,50,94,94,92,95,97,86,89,78,85
AAIC,2021-06-19,29,2,0,8,0,34,0,0,30,63,33,44,16,0
AAL,2021-06-19,83,84,90,95,0,83,93,23,95,75,81,83,66,90
AAOI,2021-06-19,18,10,0,25,0,22,0,43,2,53,23,34,2,0
AAON,2021-06-19,21,3,0,12,0,26,0,9,13,85,37,30,87,0
AAP,2021-06-19,44,27,49,14,10,63,70,65,49,68,30,16,74,37
AAPL,2021-06-19,73,58,87,84,39,74,83,57,81,69,84,86,80,79
AAT,2021-06-19,51,45,45,56,0,55,61,42,55,61,54,66,14,52
AAWW,2021-06-19,32,20,33,28,0,35,0,58,43,32,41,55,18,6
ABBV,2021-06-19,79,72,80,83,9,90,88,91,96,83,68,60,88,76
ABC,2021-06-19,67,55,85,85,0,54,0,48,88,89,89,99,61,85
ABCB,2021-06-19,47,2,4,6,0,46,0,75,37,76,65,78,67,0
ABEO,2021-06-19,34,0,0,0,0,67,0,75,39,89,27,17,79,0
ABG,2021-06-19,41,6,0,19,0,28,0,26,35,41,72,94,47,0
ABM,2021-06-19,68,69,62,61,87,57,32,28,83,84,81,79,77,96
ABMD,2021-06-19,24,0,0,0,0,37,39,15,33,64,18,23,10,0
ABR,2021-06-19,26,0,0,0,0,42,0,42,57,37,42,43,68,0
ABT,2021-06-19,80,75,95,82,50,82,49,85,99,98,81,79,84,85
ABTX,2021-06-19,33,0,0,0,0,37,0,31,43,62,41,56,17,0
AC,2021-06-19,18,0,0,0,0,36,0,46,5,63,8,10,5,0
ACAD,2021-06-19,44,0,0,0,0,77,0,77,65,100,43,57,21,0
ACBI,2021-06-19,36,0,0,0,0,30,0,32,23,64,58,72,47,0
ACC,2021-06-19,57,37,28,35,77,65,0,42,60,100,73,81,60,54
ACCO,2021-06-19,75,63,52,91,37,77,61,93,60,98,81,96,65,29
ACEL,2021-06-19,14,0,0,0,0,20,0,18,12,46,19,15,42,0
ACHC,2021-06-19,52,23,0,49,0,53,0,70,48,67,66,91,29,0
ACI,2021-06-19,23,11,34,0,0,34,0,0,36,55,18,19,24,5
ACIW,2021-06-19,52,10,34,7,0,49,0,35,75,68,67,87,33,24
ACLS,2021-06-19,49,13,12,29,0,66,92,56,41,58,63,90,10,6
ACM,2021-06-19,52,61,51,49,79,56,68,49,32,73,33,27,38,54
ACNB,2021-06-19,39,0,0,0,0,31,0,31,38,45,65,76,73,0
ACOR,2021-06-19,39,0,0,0,0,44,0,26,11,89,59,86,10,0
ACR,2021-06-19,24,11,21,5,0,39,0,42,23,59,26,22,54,0
ACRE,2021-06-19,25,0,0,0,0,39,22,42,34,46,42,48,50,0
ACRS,2021-06-19,21,0,0,0,0,49,0,28,30,90,11,15,2,0
ACRX,2021-06-19,21,0,0,0,0,50,0,75,28,50,10,10,16,0
ACTG,2021-06-19,11,0,0,0,0,12,0,28,6,21,19,16,40,0
ADBE,2021-06-19,77,78,96,97,55,76,70,35,97,99,78,88,43,79
ADC,2021-06-19,34,38,50,35,0,47,29,42,41,59,17,10,54,0
ADES,2021-06-19,26,0,0,0,0,11,0,28,8,16,62,61,99,12
ADI,2021-06-19,75,91,89,87,95,68,51,73,68,94,67,61,76,80
ADM,2021-06-19,81,77,70,82,88,83,85,75,86,89,81,87,57,87
ADMA,2021-06-19,21,0,0,0,0,42,0,59,17,51,14,17,17,0
ADMS,2021-06-19,31,0,0,0,0,37,0,26,43,50,45,64,13,0
ADP,2021-06-19,84,72,96,78,55,85,54,82,89,98,87,87,99,69
ADPT,2021-06-19,20,0,0,0,0,50,71,28,78,51,6,8,4,0
ADS,2021-06-19,69,51,78,65,0,67,45,28,91,100,84,93,66,69
ADSK,2021-06-19,77,76,91,95,55,74,83,35,88,94,80,94,50,54
ADT,2021-06-19,21,20,0,0,43,37,0,18,55,64,5,5,8,0
ADTN,2021-06-19,52,30,57,49,5,52,68,53,13,64,65,70,92,0
ADUS,2021-06-19,18,0,0,0,0,23,0,22,16,42,22,20,45,0
ADVM,2021-06-19,37,0,0,0,0,46,0,26,84,50,54,61,56,16
AE,2021-06-19,17,2,6,0,0,6,0,30,3,4,57,56,100,0
AEE,2021-06-19,45,41,50,23,50,26,0,14,17,81,81,85,71,76
AEIS,2021-06-19,45,46,18,34,76,51,43,73,20,79,35,45,11,23
AEL,2021-06-19,45,0,0,0,0,30,0,36,22,53,77,92,81,0
AEO,2021-06-19,59,70,62,67,87,44,45,68,25,37,70,85,41,39
AEP,2021-06-19,60,60,58,78,43,67,3,48,92,93,49,26,97,92
AERI,2021-06-19,34,28,0,50,0,70,72,75,31,89,5,5,9,0
AES,2021-06-19,66,51,53,42,60,68,73,73,62,68,91,100,63,85
AFG,2021-06-19,40,9,27,17,0,39,15,36,41,53,53,56,60,23
AFIN,2021-06-19,32,10,23,0,0,30,0,42,21,37,58,75,40,0
AFL,2021-06-19,57,35,87,89,0,58,36,36,68,79,62,75,18,61
AGCO,2021-06-19,56,72,51,66,85,43,33,38,18,82,54,40,92,69
AGEN,2021-06-19,37,0,0,0,0,59,0,77,63,51,42,62,4,0
AGFS,2021-06-19,27,10,4,0,26,25,10,56,7,48,60,58,97,16
