Symbol,Facility Gov ID,Facility Year
EXP,1007404,2011
PCG,1011288,2015
TSN,1012009,2011
ASH,1005604,2019
PLCE,1000027,2011
NUE,1010766,2015
AAMC,1007840,2010
KRA,1002542,2019
ADM,1006080,2011
MPC,1007741,2018
ANDE,1007933,2015
GE,1010642,2015
HEQ,1000047,2018
ATUS,1000047,2018
ALSN,1000048,2019
BKH,1007510,2011
CHCO,1007189,2015
MTX,1000056,2011
PAGP,1010617,2019
LMT,1006066,2011
AGR,1007035,2017
CHCO,1001487,2011
CC,1007916,2015
CWEN,1011303,2019
DEA,1010750,2010
ASIX,1000630,2016
CHCO,1000090,2015
CHCO,1000091,2015
NGS,1009493,2011
EXC,1006220,2010
VST,1007887,2018
NRG,1000883,2011
F,1012974,2012
DRE,1009685,2011
OTTR,1007420,2011
IDA,1007379,2019
RS,1004478,2011
LNT,1008674,2011
NGS,1000137,2019
HFC,1007972,2011
XEL,1009543,2015
BRK/A,1012051,2015
ALE,1002966,2015
AEE,1010812,2011
CHCO,1000161,2015
PNM,1009888,2011
STT^G,1000165,2011
WRK,1012002,2015
DTB,1009717,2011
ENB,1006782,2016
GLT,1004199,2015
PG,1000186,2015
NRUC,1010637,2017
WCN,1013630,2019
IP,1010299,2011
BBU,1013566,2019
KMI,1012158,2014
DEN,1011244,2015
ALP^Q,1000226,2015
UFS,1005994,2015
REYN,1003501,2019
EMN,1007438,2019
PEBK,1000234,2016
PNW,1007299,2011
ENB,1012421,2019
PBA,1006841,2018
MGEE,1008035,2015
AEP,1000251,2019
WLK,1006621,2011
AEP,1000259,2018
INGR,1010590,2015
D,1012971,2017
DIAX,1012895,2019
CVA,1000293,2011
CTA^A,1000295,2019
CHCO,1004438,2015
BAC,1000328,2016
LYB,1007562,2019
GPP,1006694,2019
AIRI,1010702,2015
MDU,1009714,2011
SON,1004961,2011
SKYT,1000354,2017
BCEI,1010318,2015
GDP,1000363,2011
SO,1012259,2019
CHCO,1000365,2015
CHCO,1007434,2015
CHCO,1001032,2015
NLS,1001283,2018
AEP,1010604,2019
ABT,1003205,2011
GM,1012328,2019
CHCO,1000381,2015
BIIB,1000383,2019
CHCO,1006602,2015
STT^G,1006948,2011
AP,1000399,2011
GPK,1000602,2017
SRE,1005063,2011
MINN,1001045,2011
WEC,1001966,2014
CHCO,1000423,2015
MMSI,1010657,2015
PCG,1009578,2015
NEM,1000446,2011
CHCO,1005802,2015
EVRG,1009620,2019
FLIC,1000450,2015
AEP,1011323,2015
GE,1001119,2011
CHCO,1000461,2015
CHCO,1006727,2015
CHCO,1000471,2015
BAC,1000474,2016
CHCO,1000477,2015
NGS,1000479,2015
UGI,1005570,2011
PCG,1000491,2018
CHCO,1001059,2019
CVX,1007237,2010
AEP,1000528,2015
CMS,1008055,2011
LEV,1000539,2010
EP^C,1009917,2011
MGU,1011650,2019
BANC,1013042,2019
CHCO,1000564,2015
ED,1007071,2011
CHCO,1000569,2015
CPSH,1009000,2011
HUN,1000592,2015
LW,1000607,2016
USFD,1000610,2016
HON,1000631,2012
BA,1000640,2015
WEC,1010794,2015
EAI,1007353,2011
EMN,1004957,2010
CHCO,1003969,2019
CHCO,1003491,2015
STLD,1006972,2011
CHCO,1004207,2019
PEG,1007330,2011
CHCO,1012074,2015
CEQP,1009888,2019
NGG,1002604,2011
CHCO,1000784,2015
AQN,1000795,2016
NI,1010121,2011
ATUS,1001914,2010
NSTB,1001276,2015
OGE,1007445,2011
CLMT,1011298,2015
CHCO,1004954,2015
KMB,1006065,2011
UG,1000872,2015
CPLP,1000883,2019
FTF,1000881,2019
AEP,1007533,2011
FE,1009854,2019
CHCO,1000996,2015
FNV,1009780,2011
CHCO,1001059,2015
NEE,1009614,2011
AEP,1001018,2015
NWE,1009724,2010
AVA,1010805,2011
MINN,1001024,2015
NWE,1007420,2015
CHCO,1001032,2015
CHCO,1001047,2015
LECO,1001045,2011
PBF,1012865,2019
CHCO,1001059,2015
CHCO,1001060,2015
IPLDP,1001060,2011
CHCO,1001060,2015
CHCO,1001060,2015
CHCO,1001088,2015
CHCO,1006024,2019
D,1001159,2011
CHCO,1013054,2019
CHCO,1001117,2015
CHCO,1001551,2019
DTE,1001120,2015
CHCO,1005113,2015
CHCO,1001123,2016
TVC,1001127,2011
OXY,1009858,2011
CHCO,1010076,2019
AES,1005310,2011
PSX,1010522,2015
GBIO,1001174,2017
VST,1001234,2018
ADS,1007920,2019
CPLP,1001225,2016
ARES,1001232,2019
BKCC,1001232,2019
ET,1013727,2019
VRS,1001237,2014
AEP,1001249,2019
FTOC,1006645,2019
ASPU,1001256,2015
BBU,1001257,2015
MRK,1007268,2011
FSSI,1001269,2011
ES,1007107,2016
STT^G,1004271,2011
PII,1001291,2017
PII,1001292,2017
ULCC,1001303,2019
GNTX,1001340,2016
WM,1001351,2015
PII,1001352,2019
ATO,1006523,2011
AEP,1001416,2011
AEP,1001586,2011
CHCO,1007233,2019
HA,1010344,2019
EIX,1006728,2010
CHCO,1009555,2019
CHCO,1001459,2015
CHCO,1001500,2015
CHCO,1001500,2015
CFG,1003401,2011
PPL,1004253,2011
CHCO,1001580,2015
BK,1002843,2019
ENLC,1011474,2015
CHCO,1007708,2015
CHCO,1001614,2015
WM,1001623,2011
WM,1001627,2015
XOM,1003555,2014
COP,1011908,2015
KOP,1001632,2011
AEIS,1011271,2017
TRGP,1012845,2018
CHNR,1012465,2019
CHCO,1001679,2015
BTU,1011886,2015
SR,1005967,2017
CTA^A,1013711,2019
OLN,1009832,2011
BF/A,1001726,2011
DE,1002458,2011
CHCO,1001770,2015
PEP,1005677,2015
BPMP,1012341,2019
DVN,1011485,2015
HES,1007595,2011
EP^C,1009903,2011
WTI,1011629,2015
AEIS,1010287,2015
FLIC,1001811,2019
TM,1009987,2015
NFG,1001829,2011
MH^C,1003902,2011
HMC,1005341,2010
USFD,1013323,2019
REGI,1001865,2019
BPRN,1001868,2019
SIBN,1003966,2011
AA,1012517,2017
SUP,1001881,2011
WM,1001887,2011
FCX,1011809,2015
CSWC,1001908,2019
AEMD,1001921,2015
CHCO,1001925,2015
HII,1001958,2019
CHCO,1001960,2015
OI,1007823,2019
TSE,1001962,2015
VLO,1007786,2012
NOC,1002570,2018
TXT,1007980,2011
RSG,1003101,2010
WM,1002004,2015
HBP,1006449,2015
OC,1013294,2019
ELAN,1002020,2019
DCP,1006407,2015
BUD,1006904,2017
AEIS,1002074,2011
BPMP,1011285,2015
KALU,1007957,2011
TAP,1002057,2019
CHCO,1002065,2015
EXPR,1012923,2019
SHW,1013536,2019
CHCO,1006615,2015
EXPR,1002931,2019
CLMT,1010950,2015
ORAN,1012110,2011
BANC,1002105,2011
CENX,1006853,2015
LECO,1002114,2019
AIRI,1006943,2011
RFP,1004416,2015
SGRP,1002131,2015
REGI,1002138,2019
CHCO,1007970,2019
CHCO,1002159,2015
CVI,1002310,2011
CHCO,1002171,2015
MUSA,1012583,2019
USLM,1002397,2011
K,1002258,2011
CMC,1005346,2011
CNP,1002244,2011
NGVT,1003749,2016
ROG,1002251,2011
QMCO,1002251,2015
CHNR,1002251,2011
POST,1002251,2011
WM,1002251,2019
CHNR,1012510,2019
OKE,1011778,2014
CQP,1002259,2011
THO,1002260,2019
POWL,1002265,2015
AEHL,1002265,2015
COG,1002265,2015
PATK,1002265,2015
SBCF,1002268,2019
STT^G,1002270,2011
CHCO,1002273,2015
CF,1005788,2011
CRD/A,1002276,2019
ERII,1002277,2015
USFD,1002287,2011
XRX,1002304,2011
CX,1007997,2011
CAT,1005990,2011
CHCO,1002328,2019
CHCO,1003144,2019
CHCO,1002351,2015
AREC,1002356,2019
WPCA,1002358,2019
CHCO,1002359,2015
BAC,1002367,2019
BPMP,1013662,2019
BK,1002399,2015
MH^C,1006911,2019
GIS,1004579,2011
MH^C,1007402,2019
WM,1002436,2015
KRA,1005866,2019
PBT,1010406,2016
CHCO,1002457,2015
GLW,1006643,2011
ARNC,1013022,2016
CHCO,1002484,2015
MH^C,1004072,2015
CHCO,1002511,2015
CHCO,1006191,2011
CHCO,1002513,2015
WM,1012528,2016
CTVA,1007805,2019
CHCO,1002538,2015
CHCO,1002545,2015
CHCO,1002546,2015
WM,1006351,2015
CHCO,1002550,2015
CHCO,1002554,2015
JELD,1002559,2019
WM,1007677,2019
AROC,1007169,2016
TALO,1013166,2019
NSC,1002572,2015
MMM,1007698,2011
CHCO,1002581,2015
MUJ,1002582,2019
CHCO,1004860,2015
CHCO,1002593,2015
PFE,1006941,2015
ABST,1002627,2015
ITW,1002633,2011
ERII,1002634,2015
CHCO,1002645,2015
GT,1004793,2015
ERII,1002655,2018
CHCO,1002656,2015
WEN,1002668,2015
WM,1002684,2011
SLCA,1002694,2015
HDSN,1002695,2011
CHCO,1002700,2015
CHCO,1002705,2015
CLW,1004705,2011
CHCO,1002729,2015
MRO,1013038,2019
WM,1002746,2015
CHCO,1005493,2019
SXC,1007287,2019
COG,1002779,2015
HWKN,1002794,2019
RGCO,1002797,2011
CHCO,1002799,2018
ACA,1013060,2019
ATH^C,1002820,2011
FHS,1002821,2015
LXU,1005867,2011
TOT,1002831,2019
CHCO,1002855,2015
COG,1013304,2019
CHCO,1002860,2015
RM,1002863,2015
MGPI,1004861,2011
CHCO,1002870,2019
GOLD,1004748,2011
STT^G,1002880,2011
DAR,1006081,2014
CPLP,1005198,2019
BAC,1003280,2011
USFD,1008069,2011
CHCO,1002902,2015
RRBI,1002909,2015
AACQU,1009340,2011
CHCO,1002957,2015
MHK,1008021,2015
CHCO,1002964,2015
AWI,1006883,2011
ABBV,1007514,2016
NOA,1002977,2011
WCN,1004679,2011
HUN,1002993,2010
GT,1004220,2011
PQG,1008044,2019
CHCO,1001487,2011
WM,1003033,2019
CHCO,1003034,2015
RM,1003035,2019
CHCO,1003044,2015
ARCH,1011873,2019
LOAN,1003056,2017
BC,1003063,2011
BAC,1009018,2019
NVS,1003098,2019
ERII,1003110,2015
CBT,1008579,2011
CHCO,1003137,2016
CHCO,1003147,2015
AA,1003147,2015
LILA,1004877,2011
ASML,1004653,2015
CHCO,1003227,2015
CHCO,1003228,2015
CHCO,1003244,2019
CHCO,1003263,2015
CLH,1009930,2019
FRTA,1004965,2016
CHCO,1003294,2011
DUK,1003297,2011
CE,1003300,2011
PPG,1008459,2011
CHCO,1006629,2015
APXT,1003603,2019
CHCO,1003368,2015
MH^C,1013718,2019
CHCO,1005634,2015
ARNC,1003379,2019
HXL,1003385,2011
ALB,1004307,2011
CHCO,1003428,2015
BPMP,1003539,2019
CHCO,1003442,2015
CHCO,1003442,2015
CHCO,1003445,2015
WM,1003450,2015
CHCO,1003471,2015
TRP,1003473,2016
KHC,1003488,2011
RIO,1005234,2011
GER,1003494,2019
NLY,1003494,2017
WM,1003505,2015
EEX,1004615,2011
CHCO,1003524,2015
BKSC,1003528,2019
OEC,1007626,2011
STT^G,1006504,2011
STT^G,1003550,2015
L,1009467,2011
MH^C,1003794,2019
CHCO,1003601,2015
APWC,1003617,2015
BAC,1003617,2015
WY,1008180,2011
AZEK,1003643,2015
AEP,1007452,2010
OKE,1013103,2018
CHCO,1006628,2015
DK,1007861,2011
CHCO,1003699,2019
CHSCL,1006671,2011
CHCO,1003704,2015
MO,1006268,2011
FMS,1003712,2019
HAL,1003913,2019
DEX,1003722,2019
CHCO,1004224,2015
ADI,1003759,2015
CHCO,1003762,2016
CHCO,1003812,2015
CHCO,1003813,2015
CHCO,1003818,2019
STT^G,1011466,2015
ASML,1007385,2015
CMP,1003829,2011
MH^C,1006767,2015
NEU,1003853,2011
TMST,1003860,2017
CHCO,1003865,2015
SBCF,1003883,2015
CHNR,1003883,2016
WM,1007607,2013
NEN,1003922,2011
GEF,1004536,2011
TXN,1010305,2011
CHCO,1003949,2015
ORAN,1003953,2015
CHCO,1003963,2015
CWEN,1013360,2019
CHCO,1003979,2015
BLDP,1003980,2019
INTC,1009856,2011
LOOP,1004008,2011
CRS,1004434,2011
CHCO,1011959,2019
CNP,1008343,2011
CHCO,1004053,2015
SJI,1010343,2010
CHCO,1004063,2015
CHCO,1004077,2015
CHCO,1004093,2019
MLM,1005855,2011
SCHW,1004099,2019
OGS,1004336,2016
MH^C,1011192,2019
CHCO,1006280,2015
KVSB,1004125,2015
REGI,1004125,2015
VNTR,1004127,2019
CHCO,1004132,2015
AUBAP,1004154,2011
CHCO,1006286,2019
USFD,1004194,2016
LNN,1004199,2019
CPB,1006617,2011
CHCO,1004214,2015
CHCO,1004223,2015
MH^C,1006919,2015
MH^C,1006281,2011
BKSC,1004251,2019
PEBK,1004255,2019
SXT,1004262,2011
STT^G,1004266,2016
CASY,1004267,2019
FF,1004274,2011
CHCO,1006650,2015
MU,1009805,2011
CHCO,1004328,2015
IPI,1004340,2015
CHCO,1004341,2015
CHCO,1004344,2019
CHCO,1004364,2015
CHCO,1004378,2015
MPLX,1012504,2016
CHCO,1004387,2015
CHCO,1004391,2015
CHCO,1004420,2019
CHCO,1004423,2016
BIP,1010644,2019
BRBS,1004446,2017
GEL,1011728,2015
CLF,1005276,2018
PARR,1010442,2017
CHCO,1004460,2015
WM,1004465,2015
LLY,1004469,2019
WM,1004475,2012
PKX,1004478,2015
CIZN,1004507,2019
CHCO,1004519,2017
NWE,1004522,2011
CHCO,1004523,2015
MH^C,1004532,2019
CHCO,1004533,2015
CHCO,1004541,2015
MH^C,1004542,2019
RM,1004550,2015
CHCO,1004565,2015
CHCO,1004566,2015
CHCO,1004572,2015
CHCO,1004573,2015
TTI,1006023,2011
CHCO,1004582,2015
CHCO,1004590,2015
CHCO,1004592,2015
NGS,1004602,2015
AMPY,1010304,2018
ASML,1004629,2015
POST,1006273,2015
NGS,1004670,2011
CHCO,1004676,2015
WM,1009077,2019
REGI,1004685,2015
WM,1004696,2015
ACB,1004719,2015
BNED,1010993,2015
ATI,1008994,2011
SRLP,1004739,2015
CHCO,1004751,2015
CHCO,1004755,2015
AREC,1004765,2011
TRP,1012512,2016
SRE,1012752,2019
CHCO,1004796,2011
WTM,1007819,2011
ALEX,1005265,2015
TREC,1004829,2015
CHCO,1004848,2015
BERY,1004853,2019
CHCO,1004868,2015
NGS,1004872,2015
CHCO,1004882,2016
MCHP,1011819,2015
CHCO,1004884,2015
NP,1005907,2011
CHCO,1004897,2015
CHCO,1004910,2015
NGS,1004919,2015
WM,1004956,2019
AMOV,1004956,2015
CHCO,1004993,2015
XEC,1005489,2011
CHCO,1007558,2016
AIH,1006359,2011
ALIN^E,1007410,2015
ARNA,1013588,2019
COG,1007410,2015
AMGN,1005413,2011
CHCO,1005085,2015
EXPD,1005091,2011
CHCO,1005092,2015
SUM,1006077,2019
CLMT,1007739,2019
CRC,1008409,2015
CHCO,1005168,2016
CHCO,1005201,2015
AIRI,1007466,2015
ASML,1005217,2015
USFD,1006819,2019
CHCO,1005225,2019
CHCO,1005237,2015
CWST,1006021,2015
WM,1005282,2015
GEVO,1005284,2019
CHCO,1005285,2015
TRN,1005287,2019
CHCO,1005291,2015
SCL,1005292,2011
NP,1005838,2011
CHCO,1005301,2015
BKSC,1005307,2011
CHCO,1005314,2015
CHCO,1007154,2015
CHCO,1005318,2015
CHCO,1005329,2015
TRHC,1012092,2019
BKSC,1005381,2015
CHCO,1005388,2015
CHCO,1005399,2015
WOR,1011697,2015
USAP,1005423,2011
EOG,1011989,2015
AAL,1005432,2019
CHCO,1005436,2015
IPI,1006411,2015
RM,1005440,2011
BPMP,1005446,2019
CHCO,1005451,2015
CHCO,1005462,2015
CHCO,1005478,2015
GF,1006187,2015
CZR,1005529,2011
STT^G,1005509,2015
CHCO,1005514,2015
ORAN,1005524,2016
CHCO,1005531,2015
CHK,1007448,2011
CHCO,1005568,2015
CHCO,1005568,2015
NWE,1005574,2015
CHCO,1005583,2015
ALB,1005594,2015
TROX,1004701,2011
CHCO,1005619,2015
CHCO,1006789,2019
ARLP,1005621,2015
CHNR,1012335,2019
USFD,1005655,2011
EQC,1005660,2011
CHCO,1005665,2015
SEB,1005686,2011
PEBK,1005699,2019
CHCO,1005701,2015
CHCO,1005723,2015
CCK,1005732,2017
SCHN,1005755,2015
CREE,1005759,2015
CEIX,1008766,2011
BDC,1005773,2015
CHCO,1008498,2015
CHCO,1005782,2015
VLO,1005791,2019
MOS,1005817,2011
CEQP,1013714,2019
CHCO,1006127,2015
MH^C,1005874,2019
NGS,1005876,2019
CHCO,1005895,2015
CVX,1005903,2019
GLHA,1005906,2019
CHCO,1005928,2015
CHCO,1005928,2015
AEP,1009888,2019
RM,1005964,2015
CHCO,1005973,2017
ABB,1006009,2015
KHC,1006018,2019
CHCO,1006026,2015
SCS,1006027,2011
CHCO,1007018,2019
WM,1006036,2015
EQNR,1013204,2019
BK,1006075,2015
HBP,1006108,2011
WHR,1010295,2011
BOH,1006173,2015
CHCO,1006178,2019
JVA,1006186,2015
NAV,1006190,2019
CHCO,1007327,2019
RM,1006218,2019
WM,1006219,2019
CHCO,1006224,2015
VIST,1006227,2019
CHCO,1006230,2015
HCAP,1006244,2015
WLL,1010199,2011
LEG,1006269,2011
CHCO,1006276,2015
