Facility Gov ID,GHG Year,co2,ch4,n2o
1004377,2010,0.0,nan,nan
1000112,2010,82875.9,38.25,45.594
1006394,2010,25150.9,11.75,14.006
1002885,2010,38843.2,18.25,21.754
1002707,2010,63818.6,30.0,35.76
1003742,2010,nan,12869.0,nan
1002718,2010,56420.5,26.5,31.588
1002721,2010,55018.1,26.0,30.992
1003188,2010,36841.6,17.25,20.562
1005043,2010,75737.3,30.0,35.76
1003739,2010,28721.5,13.0,15.496
1007698,2010,26021.7,12.25,14.602
1004206,2010,50894.3,24.25,28.906
1006665,2010,28957.7,13.5,16.688
1004836,2010,44423.2,41.0,58.408
1003408,2010,28163.0,13.25,15.794
1004914,2010,40654.8,19.25,22.946
1004804,2010,29540.3,14.0,16.688
1001106,2010,20059.8,9.25,11.026
1004680,2010,nan,112945.5,nan
1000766,2010,270998.8,216.5,458.622
1007733,2010,27185.6,12.75,15.198
1000767,2010,386312.1,385.5,919.628
1001033,2010,2171148.9,6348.25,11000.074
1001607,2010,0.0,nan,nan
1005445,2010,27522.8,13.0,15.496
1002853,2010,27694.2,27.5,42.316
1002983,2010,104824.4,239.75,408.558
1007514,2010,116917.8,117.5,279.226
1004511,2010,208821.0,25.0,nan
1002047,2010,79564.9,37.75,45.594
1002074,2010,4563.8,2.25,2.682
1005353,2010,155219.2,73.25,87.314
1006971,2010,54571.6,35.5,59.6
1003091,2010,29486.1,14.0,16.688
1002627,2010,166452.1,79.5,95.956
1002685,2010,53920.4,36.5,67.646
1006529,2010,nan,46724.25,nan
1004830,2010,775640.0,2775.25,4768.298
1004761,2010,71905.5,34.0,40.528
1005601,2010,27547.0,nan,nan
1005046,2010,28134.0,13.25,15.794
1002731,2010,110811.9,52.25,62.282
1003422,2010,67076.7,31.75,37.846
1002154,2010,131919.0,330.75,568.584
1006047,2010,3058765.0,7151.25,12216.808
1006208,2010,1494640.0,5705.5,9805.392
1001867,2010,85153.7,182.75,310.516
1000034,2010,140755.2,367.75,641.594
1000376,2010,185445.0,475.5,818.01
1006080,2010,28762.0,13.5,16.092
1001991,2010,36.0,75955.0,nan
1001633,2010,nan,97335.0,nan
1001636,2010,nan,309107.5,nan
1006790,2010,nan,63017.5,nan
1002094,2010,13.8,17122.5,nan
1001845,2010,28.7,25749.25,nan
1007212,2010,32.1,61822.0,nan
1007195,2010,6.9,43441.5,47.084
1001847,2010,11.7,53852.5,nan
1002038,2010,11.1,76370.0,nan
